Equipment Code (Riser)
009_MSP4-R08
012_MSP4-R09
018_MSP4-R10
097_MSP4-R11
051_MSP4-R12
007_MSP4-R13
050_MSP4-R14
042_MSP4-R15
004_MSP4-R16
029_MSP5-R01
006_MSP5-R02
028_MSP5-R03
058_MSP5-R04
005_MSP5-R05
069_MSP5-R06
068_MSP5-R07
057_MSP5-R08
010_MSP5-R09
073_MSP5-R10
063_MSP5-R11
106_MSP5-R12
067_MSP6-R01
009_MSP6-R02
008_MSP6-R03
052_MSP6-R04
016_MSP6-R05
112_MSP6-R06
113_MSP6-R07
114_MSP6-R08
133_MSP6-R09
063_MSP7-R01
010_MSP7-R02
073_MSP7-R03
069_MSP7-R04
107_MSP7-R05
135_MSP7-R06
134_MSP7-R07
042_MSP8-R01
120_MSP8-R02
051_MSP8-R03
011_MSP8-R04
128_MSP8-R05
013_MSP8-R06
012_MSP8-R07
062_MSP8-R08
039_MSP8-R09
123_MSP8-R10
128_MSP9-R01
039_MSP9-R02
097_MSP9-R03
074_MSP9-R04
071_MSP9-R05
027_MSP9-R06
066_MSP9-R07
026_MSP9-R08
070_MSP9-R09
041_MSP9-R10
072_MSP9-R11
025_MSP9-R12
090_MSP9-R13
044_MSP9-R14
096_RB2-R01
078_RB2-R02
038_RB2-R03
075_RB2-R04
_RB2-R05
_RB2-R06
037_RB2-R08
049_RB2-R09
060_RB2-R10
091_RB3-R01
076_RB3-R02
083_RB3-R03
088_RB3-R05
102_RB3-R06
081_RB3-R07
082_RB3-R08
079_RB3-R09
080_RB3-R10
092_RB3-R11
095_RB3-R12
078_RB3-R13
077_RB3-R14
093_RB3-R17
096_RB3-R19
_RB3-R20
_RB3-R21
131_RB3-R22
101_RC1-R01
099_RC1-R02
141_RC1-R03
144_RC1-R04
146_RC1-R05
139_RC1-R06
154_RC1-R07
159_RC3-R08
166_RC3-R09
164_RC3-R10
165_RC3-R11
171_RC1-R12
176_RC3-R13
149_RC4-R01
148_RC4-R02
151_RC4-R03
150_RC4-R04
152_RC4-R05
156_RC4-R06
155_RC4-R07
157_RC4-R08
161_RC4-R09
162_RC4-R10
160_RC4-R11
163_RC5-R01
153_RC5-R02
149_RC5-R03
156_RC5-R04
162_RC5-R05
150_RC5-R06
167_RC5-R07
174_RC9-R08
185_RC5-R09
181_RC9-R10
_RC9-R11
167_RC6-R01
_RC6-R02
169_RC6-R03
163_RC6-R04
168_RC6-R05
170_RC6-R06
165_RC7-R01
166_RC7-R02
164_RC7-R03
_RC7-R04
184_RC8-R01
185_RC8-R02
181_RC10-R01
183_RC10-R02
182_RC10-R03
151_RCDM-R01
155_RCDM-R02
160_RCDM-R03
152_RCDM-R04
140_RP1-R01
142_RP1-R02
153_RP1-R03
169_RP1-R04
168_RP1-R05
170_RP1-R06
175_RP1-R07
176_RP1-R08
143_RP2-R01
147_RP2-R02
172_RP2-R03
154_RP2-R04
159_RP2-R05
146_RP2-R06
144_RP2-R07
158_RP2-R08
145_RP2-R09
177_RP2-R10
183_RC.RB1-R11
181_RC.RB1-R12
182_RC.RB1-R13
148_RP3-R01
142_RC2-R02
143_RP3-R03
147_RP3-R04
145_RP3-R05
158_RP3-R06
157_RP3-R07
161_RP3-R08
171_RP3-R09
174_RP3-R10
113_THTC1-R01
114_THTC1-R02
112_THTC1-R03
121_THTC1-R04
122_THTC1-R05
122_THTC2-R01
121_THTC2-R02
127_THTC2-R03
120_THTC2-R04
124_THTC2-R05
125_THTC2-R06
126_THTC2-R07
123_THTC2-R08
124_THTC3-R01
126_THTC3-R02
125_THTC3-R03
127_THTC3-R04
_BKTNG-R01
_BKTNG-R02
